id,gender,military_time,age,location_danger
336,Male,14:41,27,3.05
337,Male,22:28,92,4.88
338,Female,13:05,51,0.81
339,Male,16:14,78,0.85
340,Female,21:07,47,3.11
341,Female,20:33,38,2.09
342,Female,15:57,17,2.5
343,Male,9:13,79,1.03
344,Male,18:19,62,1.97
345,Male,3:26,15,1.22
346,Female,3:26,78,3.85
347,Female,14:44,67,2.05
348,Male,7:21,37,4.63
349,Male,5:15,89,2.88
350,Male,3:10,96,4.65
351,Male,1:16,36,3.12
352,Male,8:29,96,4.66
353,Female,10:05,45,2.68
354,Female,19:04,98,2.27
355,Female,5:39,13,3.08
356,Male,8:54,65,4.37
357,Male,11:24,35,0.02
358,Male,2:37,40,3.88
359,Male,0:03,58,1.04
360,Male,20:35,87,0.24
361,Female,0:03,16,1.31
362,Female,16:02,64,0.5
363,Male,3:51,42,3.84
364,Male,2:40,42,2.51
365,Female,1:58,70,0.5
366,Female,18:38,37,2.74
367,Male,9:22,40,1.92
368,Male,18:53,14,4.35
369,Male,5:09,46,4.05
370,Female,7:00,15,4.53
371,Female,8:43,69,0.09
372,Female,8:21,97,0.86
373,Male,0:10,35,0.83
374,Male,13:01,56,2.21
375,Male,20:49,56,1.64
376,Male,4:54,93,3.73
377,Female,22:41,37,3.05
378,Male,12:43,52,3.05
379,Female,3:25,45,0.35
380,Female,14:18,29,4.45
381,Male,8:19,33,3.02
382,Female,10:35,27,2.39
383,Female,1:15,24,4.81
384,Female,19:00,12,1.89
385,Female,19:57,37,1.71
386,Male,13:56,25,2.42
387,Female,20:31,43,3.6
388,Male,0:14,22,2.24
389,Female,10:33,37,4.67
390,Male,4:38,99,3.8
391,Male,4:50,36,2.89
392,Male,9:48,64,2.56
393,Female,14:52,91,3.47
394,Female,13:49,10,2.11
395,Male,21:09,89,0.56
396,Male,13:56,99,3.12
397,Male,5:28,26,4.01
398,Male,15:39,12,0.58
399,Female,22:42,77,1.01
400,Female,7:41,44,0.03
401,Male,13:24,63,1.49
402,Female,5:26,34,4.29
403,Male,4:59,73,0.02
404,Female,23:12,66,2.73
405,Male,13:41,58,1.97
406,Female,21:28,69,4.84
407,Male,4:27,88,3.23
408,Female,13:52,94,0.27
409,Female,17:08,76,4.48
410,Female,19:16,35,2.14
411,Female,23:05,75,2.18
412,Male,2:22,99,2.78
413,Female,8:37,94,1.9
414,Male,22:43,85,1.23
415,Male,19:42,33,0.51
416,Female,1:29,28,1.76
417,Male,11:40,20,0.13
418,Male,10:51,63,0.14
419,Male,12:13,86,3.67
420,Male,9:00,71,0.25
421,Male,14:18,79,1.63
422,Female,11:18,95,0.99
423,Male,2:47,44,3.93
424,Female,4:11,42,1.57
425,Female,11:02,82,4.75
426,Female,1:20,85,4.05
427,Male,20:56,46,3.42
428,Female,5:03,19,1.16
429,Female,9:37,22,3.28
430,Male,13:57,37,0.6
431,Female,4:10,86,1.15
432,Female,8:12,12,0.61
433,Male,18:55,53,3.69
434,Male,21:03,73,1.69
435,Male,1:35,77,4.8
436,Female,18:47,84,4.03
437,Male,20:32,98,1.3
438,Female,13:00,35,3.15
439,Female,1:28,42,0.17
440,Male,16:13,55,0.65
441,Female,3:00,86,2.37
442,Female,7:05,88,1.39
443,Male,11:18,94,1.66
444,Female,10:43,70,3.73
445,Female,7:19,94,1.42
446,Female,6:11,45,4.11
447,Male,4:57,52,2.81
448,Male,12:56,46,3.21
449,Male,3:10,48,2.26
450,Female,5:40,92,1.8
451,Female,4:36,12,2.97
452,Female,17:52,31,3.39
453,Male,10:59,35,2.06
454,Male,11:33,13,3.0
455,Male,4:57,59,1.93
456,Female,8:56,28,1.7
457,Male,16:21,74,4.89
458,Male,20:28,97,2.42
459,Female,15:27,36,0.06
460,Male,1:58,84,1.63
461,Male,3:45,20,0.81
462,Male,16:38,17,4.18
463,Female,18:53,91,2.26
464,Male,3:25,92,0.69
465,Female,10:54,93,4.64
466,Male,21:44,57,3.55
467,Female,2:23,34,2.9
468,Female,18:24,37,2.65
469,Male,12:10,41,3.34
470,Female,11:05,47,4.43
471,Male,16:40,77,2.63
472,Male,15:42,10,3.63
473,Male,21:26,72,4.55
474,Female,11:46,72,4.05
475,Female,8:36,93,4.07
476,Male,4:28,95,0.78
477,Female,23:20,98,3.65
478,Male,9:46,60,1.42
479,Female,22:46,47,3.39
480,Female,20:45,90,0.73
481,Female,9:27,48,1.33
482,Female,12:20,23,4.93
483,Female,1:36,70,0.88
484,Male,8:41,15,2.0
485,Male,7:13,89,1.34
486,Male,22:11,37,4.25
487,Female,9:51,16,4.35
488,Female,5:45,59,0.21
489,Male,15:39,56,0.32
490,Male,15:26,36,0.62
491,Female,4:17,14,3.27
492,Female,10:46,19,3.66
493,Male,22:49,75,0.7
494,Female,12:25,24,1.07
495,Female,6:19,31,0.86
496,Female,12:52,55,2.52
497,Female,14:27,83,2.16
498,Male,17:33,90,3.46
499,Male,13:38,72,2.96
500,Female,2:25,28,3.93
501,Female,5:32,23,0.72
502,Male,8:51,90,4.81
503,Male,21:47,29,0.88
504,Female,6:36,97,1.65
505,Female,7:18,60,1.13
506,Male,8:41,35,0.43
507,Female,8:44,84,0.07
508,Female,0:01,76,4.08
509,Female,21:10,60,4.11
510,Male,7:04,90,1.23
511,Male,13:23,64,3.36
512,Female,5:04,84,1.31
513,Female,18:38,88,4.63
514,Female,22:27,84,3.06
515,Female,10:54,95,1.12
516,Male,4:41,84,0.95
517,Male,15:36,95,3.09
518,Male,4:19,96,3.25
519,Female,1:47,13,2.37
520,Male,5:39,20,3.03
521,Male,13:50,80,0.28
522,Male,14:56,56,1.38
523,Female,15:41,22,4.49
524,Female,19:30,42,4.89
525,Male,5:31,35,2.96
526,Male,3:03,40,4.36
527,Female,1:19,18,4.09
528,Female,19:33,84,0.06
529,Male,2:37,31,2.16
530,Male,19:41,39,0.95
531,Female,16:09,80,3.92
532,Male,2:45,28,1.42
533,Female,1:20,35,2.02
534,Female,20:17,29,4.99
535,Male,4:07,63,0.76
536,Female,8:42,24,2.18
537,Female,17:01,84,2.46
538,Male,5:11,24,3.23
539,Female,4:14,48,1.53
540,Male,13:23,71,4.76
541,Female,16:26,87,2.79
542,Female,9:41,66,0.92
543,Female,20:32,31,0.68
544,Female,19:05,75,1.93
545,Female,1:23,14,2.66
546,Male,5:53,78,3.99
547,Female,11:13,45,3.57
548,Male,14:42,93,0.68
549,Male,6:46,62,4.25
550,Female,17:01,66,3.3
551,Male,14:46,89,3.41
552,Male,18:23,63,1.45
553,Male,19:47,54,1.67
554,Male,11:58,14,1.39
555,Female,12:41,38,2.75
556,Male,2:49,33,3.72
557,Male,19:19,42,3.02
558,Male,5:14,100,1.86
559,Female,0:31,57,4.65
560,Male,1:33,45,0.89
561,Female,20:57,50,0.44
562,Female,11:26,15,2.24
563,Male,20:00,65,3.6
564,Male,21:34,47,2.84
565,Female,12:31,59,2.41
566,Female,3:17,87,0.28
567,Male,13:31,96,3.05
568,Male,15:25,69,1.66
569,Male,23:58,39,0.42
570,Male,15:34,75,2.26
571,Female,9:30,24,1.69
572,Female,6:28,89,2.97
573,Female,10:03,85,2.45
574,Male,20:59,76,4.99
575,Male,4:46,66,1.43
576,Female,8:49,34,3.67
577,Male,13:33,27,5.0
578,Female,13:46,98,1.88
579,Male,22:26,31,3.0
580,Male,1:48,15,0.92
581,Female,15:35,75,2.02
582,Male,7:08,78,1.55
583,Female,6:45,92,1.53
584,Male,2:44,80,0.38
585,Male,10:10,26,4.26
586,Male,8:51,52,0.59
587,Male,17:48,40,3.79
588,Male,22:39,84,2.9
589,Female,7:28,91,1.19
590,Male,2:53,19,3.16
591,Male,0:51,89,0.31
592,Female,8:09,89,4.19
593,Male,21:21,65,1.71
594,Male,11:11,68,0.25
595,Male,7:20,56,4.29
596,Male,3:15,23,4.78
597,Male,5:27,75,3.42
598,Female,14:52,12,3.33
599,Male,1:08,65,3.06
600,Male,17:04,71,1.19
601,Male,2:05,85,2.77
602,Male,10:00,77,0.69
603,Female,17:35,35,0.23
604,Female,8:36,28,0.8
605,Female,18:18,88,4.02
606,Female,20:09,65,0.95
607,Male,18:58,33,4.86
608,Female,21:31,26,0.31
609,Female,22:59,48,0.54
610,Male,19:31,65,1.71
611,Female,22:25,54,0.01
612,Male,13:14,57,3.73
613,Male,2:44,15,0.29
614,Male,20:32,71,2.4
615,Female,19:18,45,0.29
616,Male,21:45,25,2.2
617,Female,3:37,30,3.24
618,Female,19:59,90,2.56
619,Male,12:09,86,3.68
620,Female,6:45,86,2.08
621,Male,15:56,92,2.16
622,Male,8:31,90,2.4
623,Female,16:46,79,2.73
624,Female,19:32,64,4.41
625,Female,21:38,43,4.84
626,Male,20:01,48,1.09
627,Male,2:13,15,3.04
628,Male,11:26,81,4.4
629,Female,3:52,21,2.65
630,Male,15:48,95,2.74
631,Male,8:19,62,3.16
632,Male,10:45,49,0.39
633,Male,14:14,37,2.0
634,Female,23:39,45,1.08
635,Male,23:44,50,0.95
636,Male,1:43,26,3.55
637,Male,6:45,27,1.95
638,Female,4:27,60,4.23
639,Male,14:20,32,4.91
640,Female,11:27,57,3.63
641,Female,22:48,79,4.0
642,Male,14:59,85,0.97
643,Female,18:28,38,2.91
644,Male,7:52,74,2.3
645,Male,7:21,54,3.03
646,Male,9:41,17,0.94
647,Female,4:14,21,3.07
648,Male,9:45,29,2.65
649,Female,15:35,23,3.48
650,Male,21:30,78,1.3
651,Female,4:09,47,1.36
652,Male,6:39,53,0.02
653,Female,23:13,83,1.12
654,Female,14:54,26,1.26
655,Female,7:22,84,1.75
656,Male,15:27,45,4.24
657,Female,4:18,53,2.11
658,Female,7:25,46,4.57
659,Male,8:16,97,3.6
660,Male,16:54,92,2.64
661,Male,3:59,32,3.12
662,Female,2:48,53,2.98
663,Male,9:47,49,4.26
664,Male,14:19,41,4.89
665,Female,16:37,12,0.57
666,Female,7:42,64,3.35
667,Female,19:08,80,2.18
668,Male,18:44,99,3.29
669,Male,2:47,15,3.57
670,Male,23:24,63,0.89
671,Female,15:27,61,0.24
672,Female,2:28,67,2.99
673,Male,23:37,91,2.99
674,Male,1:22,71,0.26
675,Male,16:52,30,1.88
676,Female,16:47,59,3.88
677,Female,6:42,23,1.62
678,Female,0:05,89,3.39
679,Female,1:33,89,3.65
680,Female,3:15,13,0.05
681,Male,22:36,54,3.8
682,Male,11:05,57,2.3
683,Male,20:45,18,0.52
684,Male,2:15,33,4.17
685,Female,19:03,97,0.35
686,Male,4:54,15,3.1
687,Male,2:35,82,0.58
688,Female,5:26,10,1.33
689,Female,8:58,13,1.95
690,Female,22:39,39,3.44
691,Female,6:22,61,2.93
692,Male,19:54,32,3.29
693,Female,23:03,32,3.65
694,Female,11:19,43,1.39
695,Male,3:16,83,1.71
696,Male,21:36,36,3.43
697,Female,5:14,60,3.05
698,Female,17:12,99,0.22
699,Female,1:18,93,1.84
700,Male,16:15,92,0.91
701,Male,13:54,29,2.62
702,Male,3:30,58,1.95
703,Female,7:00,54,0.58
704,Female,11:35,62,0.19
705,Female,2:14,78,4.63
706,Female,22:00,37,2.42
707,Male,7:02,78,4.88
708,Female,15:00,74,3.76
709,Female,16:37,27,4.4
710,Female,6:51,10,4.83
711,Female,23:06,61,1.9
712,Female,12:40,97,4.94
713,Male,21:39,40,1.77
714,Male,3:58,39,4.07
715,Female,5:54,88,4.14
716,Female,15:46,37,2.85
717,Female,8:50,89,2.51
718,Female,10:29,63,1.36
719,Female,1:18,75,0.25
720,Male,16:43,35,0.35
721,Male,4:20,36,4.26
722,Male,6:41,74,3.95
723,Female,11:43,21,3.53
724,Male,23:42,17,4.09
725,Male,13:16,24,2.06
726,Female,22:09,81,0.68
727,Male,6:21,92,0.95
728,Female,20:54,56,3.01
729,Male,23:56,51,3.06
730,Female,13:24,31,2.0
731,Female,15:08,66,4.83
732,Male,17:19,73,4.33
733,Female,6:21,76,4.34
734,Female,6:41,53,0.51
735,Male,5:28,66,3.59
736,Female,23:32,10,0.79
737,Male,6:55,71,4.94
738,Female,10:53,16,2.86
739,Female,21:48,79,2.85
740,Female,9:07,61,3.26
741,Female,8:37,64,4.54
742,Female,4:50,62,1.11
743,Male,20:24,95,2.17
744,Female,1:25,40,3.27
745,Female,14:39,71,2.08
746,Male,0:58,22,4.04
747,Female,16:30,95,2.47
748,Female,15:53,43,3.7
749,Male,0:04,86,2.25
750,Female,9:24,22,0.6
751,Male,12:18,75,2.71
752,Male,14:30,57,2.74
753,Male,0:44,51,2.0
754,Male,2:08,57,0.54
755,Female,19:00,41,1.65
756,Female,14:42,20,4.18
757,Male,21:05,56,3.09
758,Female,7:44,11,2.73
759,Male,17:05,27,2.03
760,Female,6:06,78,4.2
761,Female,4:37,33,0.07
762,Male,15:36,44,0.09
763,Female,22:49,48,2.73
764,Female,13:40,63,2.92
765,Male,20:00,32,0.87
766,Female,5:07,35,0.1
767,Female,13:52,32,2.03
768,Female,1:34,30,4.29
769,Male,2:19,81,1.51
770,Male,23:45,32,1.63
771,Female,12:01,10,4.39
772,Male,23:34,53,4.62
773,Female,7:47,61,1.4
774,Male,3:05,51,4.16
775,Female,18:31,44,4.61
776,Female,15:00,83,2.38
777,Male,8:59,100,3.54
778,Female,21:51,94,2.68
779,Male,16:27,96,0.74
780,Male,16:18,90,4.17
781,Male,17:36,14,3.02
782,Male,12:21,10,2.98
783,Male,18:25,39,0.34
784,Female,3:33,47,2.32
785,Male,18:38,13,1.23
786,Male,15:49,45,2.94
787,Male,16:59,10,1.44
788,Male,5:44,58,4.58
789,Female,5:10,26,0.75
790,Male,21:41,92,4.34
791,Female,14:24,99,0.58
792,Male,14:19,77,3.03
793,Male,5:50,65,1.71
794,Male,1:44,56,4.58
795,Female,3:39,10,3.25
796,Female,17:15,56,1.24
797,Female,21:16,39,4.73
798,Male,1:26,12,0.43
799,Male,9:44,90,0.11
800,Male,22:04,16,3.15
801,Female,22:34,59,1.84
802,Male,15:41,100,2.2
803,Male,5:27,72,4.33
804,Female,6:27,50,2.3
805,Male,14:34,77,3.28
806,Male,16:16,42,3.13
807,Female,23:32,48,0.99
808,Male,0:26,97,0.02
809,Male,21:53,55,0.3
810,Male,8:56,74,4.88
811,Female,7:10,57,0.85
812,Female,23:24,83,1.36
813,Male,3:04,29,3.4
814,Female,12:54,35,4.59
815,Male,17:50,88,1.25
816,Male,18:22,27,3.59
817,Female,11:28,31,3.12
818,Male,9:20,100,4.77
819,Female,1:15,18,1.72
820,Male,15:03,46,4.2
821,Female,18:36,12,2.04
822,Female,12:12,80,0.66
823,Female,8:17,84,2.62
824,Male,20:06,12,1.74
825,Male,18:17,42,3.89
826,Male,4:06,58,2.77
827,Female,16:20,53,2.66
828,Male,5:29,88,1.02
829,Female,7:00,83,0.76
830,Male,15:18,99,3.91
831,Female,18:06,47,4.82
832,Female,19:30,40,0.77
833,Female,20:18,18,0.1
834,Female,8:21,21,4.25
835,Male,9:07,56,0.47
836,Female,8:33,32,2.0
837,Female,5:15,29,0.19
838,Female,8:47,76,3.97
839,Male,9:31,99,2.71
840,Male,21:03,45,2.85
841,Female,8:10,76,4.27
842,Female,23:27,24,4.6
843,Female,3:17,43,2.43
844,Male,23:01,75,4.9
845,Female,20:53,21,1.83
846,Male,21:41,78,3.82
847,Female,20:27,95,2.1
848,Female,0:03,24,4.8
849,Male,6:55,97,3.97
850,Male,16:46,19,3.89
851,Female,6:40,58,1.42
852,Female,18:08,76,4.37
853,Female,23:31,74,0.69
854,Male,23:14,47,1.17
855,Female,19:17,39,3.33
856,Male,22:46,56,2.66
857,Male,5:52,88,0.9
858,Male,23:51,94,1.06
859,Female,9:50,84,1.31
860,Female,11:01,20,4.41
861,Female,0:06,25,2.65
862,Male,12:08,73,0.88
863,Female,22:55,69,0.72
864,Male,19:55,94,2.39
865,Female,15:18,20,0.53
866,Male,18:40,64,4.89
867,Female,12:33,45,0.58
868,Female,13:17,86,0.23
869,Female,6:26,96,0.69
870,Male,20:09,21,4.2
871,Male,10:29,61,2.73
872,Male,14:17,18,2.28
873,Male,5:35,91,3.72
874,Female,22:18,89,4.24
875,Female,5:12,11,2.24
876,Female,16:57,23,0.17
877,Female,9:40,87,4.8
878,Male,10:45,55,0.63
879,Male,21:09,90,3.71
880,Male,8:40,27,3.77
881,Male,10:21,37,2.02
882,Male,11:58,44,0.99
883,Female,6:50,12,3.44
884,Male,17:21,88,0.8
885,Female,7:23,67,0.91
886,Male,6:45,51,3.96
887,Male,9:37,41,1.22
888,Male,10:40,57,1.63
889,Female,13:49,82,1.46
890,Male,19:56,94,3.7
891,Female,14:00,36,1.12
892,Male,22:24,95,2.13
893,Female,5:29,83,3.13
894,Female,0:19,52,4.55
895,Female,0:04,48,2.58
896,Female,18:59,73,4.8
897,Female,15:00,77,4.9
898,Male,15:09,62,0.08
899,Male,8:10,53,2.71
900,Male,6:34,41,0.75
901,Male,0:14,24,1.62
902,Female,2:55,98,4.82
903,Female,16:03,56,2.62
904,Male,17:56,49,1.2
905,Female,8:27,24,4.75
906,Male,7:37,19,1.1
907,Male,3:10,26,3.91
908,Male,9:58,19,2.05
909,Male,10:45,85,4.7
910,Male,14:46,73,0.36
911,Female,21:52,97,0.41
912,Female,14:57,93,3.55
913,Male,11:18,86,4.26
914,Male,1:47,92,0.68
915,Male,0:10,92,4.41
916,Male,7:41,45,1.68
917,Male,10:51,91,1.6
918,Female,20:00,17,1.07
919,Female,21:52,43,2.79
920,Female,5:17,35,0.35
921,Female,0:46,61,4.8
922,Male,2:53,50,2.09
923,Male,14:07,37,3.36
924,Male,21:02,45,0.87
925,Female,7:57,71,2.23
926,Male,12:20,55,2.72
927,Female,19:26,14,4.16
928,Female,6:33,96,3.93
929,Male,22:54,15,4.96
930,Male,14:05,27,0.57
931,Male,21:50,51,2.12
