id,gender,military_time,age,latitude,longitude,location_danger
51,Male,1:47,40,49.5562052,6.2862731,1.71
52,Female,15:16,30,46.58624,-71.20892,2.26
53,Female,6:36,31,38.414101,-28.339109,2.76
54,Female,7:38,49,-26.2922169,28.205089,0.25
55,Male,13:54,42,-9.7936959,29.0809012,0.78
56,Male,13:20,44,24.4752847,101.3431058,2.56
57,Female,6:32,40,39.646905,97.130625,3.4
58,Female,14:33,81,7.20312,124.796217,3.46
59,Female,0:43,37,13.0748766,123.7526021,4.25
60,Female,0:09,50,-6.7353,111.4931,3.7
61,Female,13:06,36,12.87678,44.99309,3.29
62,Female,18:38,24,49.2221045,-0.4440154,2.51
63,Female,0:59,52,57.5901299,11.9313139,2.09
64,Female,15:47,81,7.579029,-75.349545,2.68
65,Male,15:29,57,40.9109489,49.0729264,3.26
66,Male,4:34,81,50.22892,-99.46642,2.16
67,Female,3:39,27,-8.5003,115.0188,4.86
68,Male,5:39,25,49.0998215,17.757483,0.81
69,Female,1:53,61,31.825073,119.944048,2.88
70,Female,14:10,44,-7.6142101,110.692877,0.48
71,Male,9:22,67,-8.0934,111.9629,2.22
72,Female,9:34,39,13.783333,44.783333,4.96
73,Male,14:28,14,40.024639,122.711528,3.22
74,Male,14:38,10,49.7877327,37.1720386,3.93
75,Male,5:50,71,53.0641593,38.0521393,3.54
76,Male,14:33,42,10.4451778,9.2446093,1.2
77,Male,9:56,82,14.5937178,120.9676054,1.74
78,Female,11:28,44,41.0174461,-7.7750036,0.34
79,Female,5:28,37,-31.3746109,-64.1916038,0.85
80,Male,18:22,34,52.1682974,17.8955629,4.35
81,Female,15:10,19,42.3781869,-83.1059154,2.67
82,Female,18:55,93,40.7576842,23.1342184,1.48
83,Female,2:04,45,10.2644903,123.5842054,2.94
84,Male,6:37,10,-22.6475546,-47.1947232,1.68
85,Female,7:52,16,25.234479,110.179953,0.38
86,Female,3:55,62,16.5636498,-24.354942,4.85
87,Male,6:15,75,51.807911,35.2382519,0.25
88,Female,4:42,20,38.7285284,-9.4069248,1.92
89,Male,13:22,39,59.207544,17.8277745,1.06
90,Male,4:43,17,18.9133079,72.8228652,4.91
91,Female,13:34,22,55.3734577,26.2092274,1.12
92,Female,0:48,35,37.517256,101.225991,1.81
93,Female,23:38,19,43.704612,7.261933,0.17
94,Male,1:26,63,-8.605,122.743,1.88
95,Female,14:27,58,-8.5803424,116.3654707,2.2
96,Male,10:57,85,7.1065989,6.6878719,0.54
97,Male,5:37,68,-15.7665609,-70.2594346,1.89
98,Male,9:54,60,-6.7345601,108.2777899,1.59
99,Male,7:32,17,47.2299246,39.7503269,4.04
100,Male,19:35,52,40.667433,122.235084,0.62
101,Female,3:44,11,30.943659,120.934925,0.72
102,Female,7:47,69,57.9887927,56.1415665,1.25
103,Female,12:21,73,34.9645166,-5.5663222,0.03
104,Male,8:05,36,46.5450722,39.5813214,0.85
105,Female,18:01,67,26.312444,99.850365,4.05
106,Female,12:06,53,40.1336715,44.6507762,3.67
107,Male,8:17,54,34.481455,108.386208,3.2
108,Female,9:50,67,-25.0993621,-50.1584514,2.04
109,Female,15:56,97,21.270702,110.359368,1.08
110,Male,10:55,14,43.6805415,40.2100333,0.62
111,Male,8:57,28,-2.0983597,-79.6923047,2.53
112,Male,3:42,71,19.5269646,-72.2437813,2.43
113,Male,21:25,46,36.8903434,38.3500108,0.46
114,Female,6:51,39,30.651078,120.183168,2.02
115,Female,15:26,63,43.30706,124.33539,4.31
116,Male,20:55,55,10.323959,-74.961495,2.13
117,Female,10:33,47,6.3524753,124.9017692,1.77
118,Female,17:39,90,32.016539,35.068807,2.36
119,Female,22:30,93,40.505361,80.461556,3.36
120,Female,12:53,69,5.042569,-75.514771,2.21
121,Female,15:18,51,-7.1546275,108.7660364,4.02
122,Male,8:05,40,38.64501,65.68952,1.49
123,Female,14:49,18,36.533333,69.016667,3.72
124,Female,23:30,69,30.753924,120.758543,4.33
125,Female,23:04,58,23.2410273,-106.3949498,3.32
126,Female,9:42,67,42.0592298,21.4472756,4.9
127,Female,12:18,92,53.3914918,142.9582995,4.82
128,Female,22:31,22,-8.4766365,119.8805782,2.64
129,Female,8:48,27,-10.2024984,123.5988052,2.64
130,Male,15:39,14,56.3588787,23.2565415,3.44
131,Male,17:04,81,33.5760112,130.6627355,4.4
132,Male,1:21,52,45.8940717,-74.157934,3.03
133,Male,23:42,48,40.7093697,20.6973469,3.83
134,Female,6:01,82,8.9679001,-71.2740573,2.8
135,Female,10:42,24,-6.3077304,106.1831224,3.89
136,Female,14:03,63,14.6484972,121.0782757,3.28
137,Male,16:17,96,33.4646833,48.3389644,1.65
138,Female,17:53,24,7.1402468,40.7107871,4.55
139,Female,10:15,55,23.296786,113.823135,1.88
140,Female,12:29,61,-7.3000408,108.3682641,4.26
141,Female,20:18,83,13.9641503,121.655933,0.3
142,Male,15:12,80,-6.6572023,106.7057733,0.62
143,Female,17:19,51,29.743828,122.108265,4.97
144,Male,23:54,11,-23.3233727,-46.7294577,0.66
145,Female,10:58,73,54.3418823,10.1150681,1.12
146,Male,7:23,33,39.4721645,-8.5034561,1.23
147,Female,12:58,41,9.8247812,-68.4397551,2.32
148,Female,6:28,14,52.5429093,21.9001014,1.89
149,Female,21:47,69,-21.7414439,-48.6891129,1.73
150,Female,23:25,20,36.994225,99.598035,3.37
151,Male,9:04,36,30.798775,121.33638,0.24
152,Male,11:49,79,-8.3893,115.2605,4.19
153,Male,19:07,32,6.323976,-75.4985521,4.84
154,Male,19:51,62,32.655325,103.604698,3.77
155,Male,18:06,23,6.413801,125.61055,0.87
156,Male,5:09,60,33.786489,133.7255189,3.58
157,Female,7:55,92,45.0463269,38.8000344,2.17
158,Female,6:44,87,-25.9239093,32.465802,3.62
159,Female,6:39,42,39.134282,113.200971,0.05
160,Male,1:18,51,-20.4363727,-51.3050851,3.36
161,Female,5:59,81,45.7120639,19.6574694,1.25
162,Male,13:52,31,-20.7430332,-46.6096926,3.19
163,Male,8:29,55,43.2916776,-0.3696612,1.56
164,Female,13:35,88,21.2067429,105.4273093,4.7
165,Female,3:36,10,30.4231682,31.5654425,4.37
166,Female,20:32,98,50.9422707,37.8024687,1.21
167,Female,18:20,48,-23.006144,-46.8422385,3.68
168,Female,19:11,43,58.1295491,55.5405808,2.33
169,Female,9:40,46,34.272117,108.084731,3.67
170,Female,18:13,98,36.545015,104.138586,2.7
171,Female,12:36,68,30.572815,104.066801,1.34
172,Female,9:47,74,24.771797,103.290785,3.22
173,Male,9:08,52,34.2698909,108.9469437,3.28
174,Female,11:58,61,33.2667748,131.5110953,1.46
175,Female,3:51,14,29.606703,106.574271,0.04
176,Female,16:04,91,15.5678638,103.0241726,1.89
177,Male,8:27,55,26.263406,117.638678,3.97
178,Female,12:20,57,36.515,103.62,0.99
179,Female,16:42,69,47.8417718,-0.3419882,4.63
180,Male,18:42,70,13.1641308,100.9216588,0.71
181,Female,20:11,31,38.0878845,23.9761139,2.71
182,Female,6:28,24,8.287423,100.1927389,4.07
183,Female,7:20,23,40.798124,120.5550729,3.2
184,Female,23:06,20,36.1560347,68.0477509,4.63
185,Female,11:03,41,53.5659675,15.28454,0.62
186,Male,0:51,49,31.293061,111.207071,1.74
187,Female,0:43,82,8.5123871,123.2843256,4.35
188,Female,13:43,72,-13.65311,-73.95396,1.17
189,Male,10:51,79,-7.3590199,107.0362272,1.59
190,Female,17:43,26,7.1133648,125.6286673,0.91
191,Male,21:48,14,11.4385093,-85.9368423,3.66
192,Female,9:26,14,44.055922,85.38086,1.92
193,Female,12:07,96,35.8939566,117.9249002,1.54
194,Female,23:24,12,63.8898032,23.9240625,3.73
195,Male,9:07,50,-8.3728,113.4791,4.21
196,Female,15:49,73,-4.8768346,-80.9732924,0.79
197,Female,6:37,51,-27.7203552,-48.563999,4.19
198,Male,1:10,89,41.270347,123.174325,2.38
199,Male,5:43,77,44.9280296,4.8932938,3.85
200,Male,10:27,63,33.8462304,35.9019775,3.41
201,Male,4:19,75,67.2611001,15.3602308,2.77
202,Female,4:44,40,-7.5740867,112.28609,3.06
203,Male,17:22,26,27.8277,103.72828,0.0
204,Male,5:08,88,57.6983773,11.982711,2.6
205,Female,6:35,71,31.8577642,35.936274,0.18
206,Female,15:30,42,48.8231572,103.5218199,1.55
207,Male,5:00,11,-8.3488,123.6542,1.47
208,Female,6:27,27,15.3614928,120.530743,1.07
209,Female,22:37,58,46.737224,15.4424776,4.73
210,Male,2:35,74,46.6063814,15.7861748,3.84
211,Female,23:19,63,40.816453,-7.5454104,3.09
212,Female,15:36,21,37.9904219,23.6583002,2.15
213,Female,9:59,38,26.893368,112.572018,0.39
214,Female,13:55,10,-6.8897321,110.7480064,3.35
215,Female,16:18,62,-8.4478,123.5082,4.57
216,Female,14:44,58,30.02598,111.850777,1.85
217,Female,20:03,54,25.0248314,121.7408654,0.38
218,Male,2:07,80,35.6495457,63.9113296,1.89
219,Male,10:05,39,-6.5092532,106.8974964,1.24
220,Female,20:13,13,10.4452129,106.4729811,1.9
221,Female,16:49,56,32.983101,107.766613,4.02
222,Female,9:22,100,29.9246825,-90.0163544,0.6
223,Male,17:27,17,34.92715,36.12323,3.7
224,Female,8:51,59,-20.5360441,29.2814687,4.07
225,Male,22:57,97,-7.150975,110.1402594,0.17
226,Female,1:51,51,46.7530428,-71.2196569,1.45
227,Male,6:48,18,53.8386511,22.9882406,4.51
228,Male,3:51,16,1.48833,124.97444,1.36
229,Female,11:59,64,39.7467369,98.5069862,3.54
230,Male,20:07,68,40.2487413,72.1297653,0.68
231,Male,12:06,81,-7.5293844,107.9591094,2.49
232,Male,18:18,94,45.7376939,19.0070982,4.86
233,Male,6:54,87,45.4912891,20.6465628,2.84
234,Male,18:57,33,37.8163881,66.0285106,4.58
235,Male,18:51,91,47.1117538,96.6716809,0.66
236,Female,18:01,20,46.366234,127.010966,1.43
237,Female,12:45,26,29.8655146,121.4589773,2.44
238,Male,11:29,24,47.9838092,-4.0325499,4.51
239,Female,9:34,61,31.2303904,121.4737021,1.34
240,Male,20:38,10,31.491169,120.31191,4.6
241,Female,22:23,61,51.5111902,16.263731,4.51
242,Female,16:47,60,-5.4906936,22.274168,2.92
243,Female,10:33,40,29.367424,116.64395,3.63
244,Female,1:48,93,59.3796798,28.1791333,1.46
245,Male,14:58,50,7.7478359,-8.8252502,0.71
246,Female,0:13,16,6.488071,38.5217772,3.46
247,Female,15:35,34,-8.3027766,113.5222556,1.93
248,Female,8:20,19,25.9152,115.626796,0.32
249,Male,8:13,20,40.6140785,20.7778071,3.89
250,Male,15:30,98,49.9478668,19.8866771,2.01
251,Male,17:17,92,-7.8431154,110.3772042,3.57
252,Male,22:27,47,62.0249648,27.2057857,2.32
253,Female,7:38,47,24.47669,32.94626,1.0
254,Female,13:36,71,53.2252531,33.7298819,3.92
255,Female,2:24,60,-11.8764686,-47.6849007,1.5
256,Male,2:21,92,22.816884,115.830376,1.42
257,Male,1:45,60,37.9697625,140.7803658,1.63
258,Male,0:41,24,22.7129122,-83.0415078,1.6
259,Female,8:03,22,-33.240297,-56.016771,4.03
260,Female,14:15,97,35.6362613,139.5885895,0.75
261,Female,21:30,48,15.8278,120.4946766,1.3
262,Male,10:14,85,-0.7911388,29.924903,3.81
263,Female,13:37,39,33.25,10.2,4.12
264,Male,4:33,28,23.020673,113.751799,0.42
265,Male,12:12,93,40.4722617,-7.9751886,0.68
266,Female,11:52,46,54.914389,85.646652,0.13
267,Male,1:24,97,63.1204712,7.8745882,2.66
268,Female,3:34,29,21.3926035,-77.9053182,0.51
269,Male,19:34,29,35.1612182,-5.2632201,0.7
270,Female,5:36,68,35.3078775,136.6447089,0.28
271,Male,22:02,98,-32.9150009,-65.3749466,3.61
272,Male,5:12,61,59.9149479,10.7362308,2.25
273,Male,15:42,64,59.4051145,40.1445151,0.95
274,Female,16:18,95,34.58,-4.73,1.58
275,Male,23:07,68,39.5712613,45.9365615,0.42
276,Male,16:14,37,34.606756,119.19371,1.54
277,Male,11:48,19,47.3016629,38.9325712,4.18
278,Male,18:05,48,18.2712491,-78.0682254,2.73
279,Male,6:12,60,28.003553,96.657898,2.17
280,Male,12:57,71,10.5943971,-85.2017554,3.86
281,Female,4:34,48,20.6482704,-75.9289046,1.87
282,Female,1:14,84,18.3267954,-77.0075055,1.82
283,Female,21:19,85,-51.6211286,-69.2142863,3.02
284,Male,17:21,10,-6.9244162,112.4142453,2.35
285,Female,13:56,21,5.1970659,96.5076426,4.04
286,Female,2:40,27,18.6220301,-99.1559935,4.72
287,Female,18:15,27,49.1168862,16.5813788,1.18
288,Male,19:19,53,54.1,23.7,2.48
289,Male,10:07,72,46.814102,130.375062,0.4
290,Male,19:01,55,17.8886522,-76.3897733,3.85
291,Female,5:16,55,48.42647,-123.3227421,1.96
292,Female,22:58,28,-34.625324,-58.5187733,0.22
293,Female,12:00,16,37.16516,122.486657,1.7
294,Female,18:10,25,58.8484094,26.9399664,3.0
295,Male,15:45,97,59.4527156,18.091186,3.5
296,Female,19:57,77,32.540157,111.513127,4.41
297,Male,19:13,20,11.562733,124.3973046,0.61
298,Male,14:54,73,22.830192,112.074588,0.76
299,Female,17:11,10,46.2893452,28.6519897,1.66
300,Male,8:28,75,19.7633057,96.0785104,1.73
301,Male,10:30,88,39.8909584,116.325077,2.9
302,Female,17:48,88,7.160227,125.05806,1.67
303,Female,10:29,64,-5.4008202,105.2677562,1.04
304,Female,6:31,62,50.4853152,30.4983392,3.3
305,Female,23:29,79,-7.7037789,110.7465164,0.26
306,Male,7:19,22,28.488535,117.653994,2.21
307,Female,8:53,85,-6.6769374,107.0244171,3.42
308,Male,3:37,48,22.7325323,-12.4753205,3.21
309,Female,8:29,40,44.8209481,19.3850911,2.76
310,Male,23:28,63,25.689394,106.058692,4.07
311,Male,5:46,97,-29.7127463,-51.2422395,4.27
312,Female,1:35,80,-8.7223957,115.1767095,0.2
313,Male,0:20,34,14.6055216,121.1174129,0.63
314,Male,9:26,53,8.3663119,-62.6496813,2.39
315,Male,1:19,48,-0.7171778,36.4310251,2.78
316,Male,0:55,18,35.7455327,139.8831403,1.12
317,Female,4:16,10,24.546876,107.04219,1.29
318,Male,12:09,79,30.311056,112.255583,3.98
319,Male,8:28,24,47.7557543,39.9363328,2.36
320,Female,14:13,38,-8.3743231,124.7630307,4.63
321,Female,8:41,20,-6.3376,106.0164,1.47
322,Male,14:26,44,29.705077,116.00193,2.99
323,Female,3:20,85,41.764115,86.145298,4.4
324,Male,4:49,14,37.7688197,140.7154397,2.59
325,Female,18:29,18,34.668335,136.3670325,0.53
326,Male,20:32,67,25.49872,119.790168,4.16
327,Female,13:14,88,-28.6880903,27.4380189,0.68
328,Male,21:01,43,22.947532,112.823056,4.5
329,Female,17:26,59,30.979148,98.312889,2.88
330,Female,16:27,36,30.2733296,120.1672735,1.18
331,Female,19:30,99,54.4658152,19.9348453,1.55
332,Female,2:15,99,-9.5961614,119.5752764,0.15
333,Female,1:08,79,48.8048649,2.1203554,0.9
334,Female,19:27,10,-15.7994139,-47.9222179,0.49
335,Male,19:12,35,61.9919,-49.6572,0.25
336,Male,4:22,87,29.00701,117.62965,3.78
337,Male,3:54,71,5.4238154,-75.8185314,1.36
338,Female,3:23,16,47.7489727,7.3507066,4.47
339,Male,11:55,11,44.2441908,15.2513162,1.47
340,Male,22:07,96,-22.8262707,-43.0152252,2.32
341,Female,13:55,96,-2.2233633,-80.958462,4.34
342,Female,6:09,81,31.697512,121.424811,0.32
343,Male,4:58,27,32.501495,119.196466,1.09
344,Female,15:51,32,34.293171,108.946651,0.94
345,Female,1:46,57,51.8796,4.5059,4.84
346,Male,20:10,13,30.2382492,49.7064548,2.54
347,Female,12:55,36,33.09803,115.858361,4.72
348,Male,2:30,77,5.695633,-76.649812,1.79
349,Female,23:56,18,49.76647,-119.73568,4.91
350,Female,10:18,51,52.7643345,87.8895009,0.31
351,Female,12:58,59,-8.5437,115.1036,0.02
352,Female,11:51,36,6.7885037,124.8730516,3.01
353,Male,7:47,56,-6.7515973,107.9287898,3.19
354,Male,3:48,33,23.125735,113.964824,0.87
355,Male,23:24,90,14.9398,33.234,2.02
356,Male,19:12,40,-6.6355378,106.8490872,4.28
357,Female,23:34,36,19.6683311,105.4448838,0.96
358,Female,17:08,57,-8.4769874,123.0845277,1.37
359,Female,18:28,36,-15.3875259,28.3228165,4.18
360,Male,23:15,99,50.6627543,17.9265186,1.01
361,Female,1:18,94,31.236833,121.532286,0.23
362,Female,16:39,94,-38.9568843,-68.1247915,3.59
363,Female,18:40,39,48.51659,-53.08135,2.9
364,Female,18:43,32,-5.41667,-80.66667,2.82
365,Female,19:08,36,21.241735,-77.8267218,0.73
366,Male,3:05,58,-7.7920677,113.479098,3.09
367,Male,10:24,73,-8.1462,115.0596,0.67
368,Female,5:05,77,43.6953508,7.2559678,2.11
369,Male,8:22,49,55.72565,37.1635,3.37
370,Female,19:50,61,40.174881,123.52481,1.5
371,Male,22:20,44,-6.6409658,106.8030892,4.43
372,Male,15:46,27,6.2958736,101.7296049,2.82
373,Male,10:40,45,-6.9258108,107.6222719,2.05
374,Male,20:21,70,35.9704988,139.6477598,2.28
375,Male,22:02,87,29.684901,106.602255,0.19
376,Male,14:03,73,29.830962,104.848829,3.45
377,Male,3:14,17,31.8484611,130.260344,1.63
378,Female,20:07,23,7.2676037,-8.1447804,2.04
379,Female,13:30,36,15.670299,100.4846227,4.82
380,Female,16:14,18,34.258826,108.972883,1.55
381,Female,20:18,30,20.1564917,105.8736936,3.05
382,Male,17:04,11,49.4136066,16.5814019,3.53
383,Male,20:35,58,43.0717734,46.8488828,1.26
384,Male,11:04,30,-20.3139411,30.0549683,1.02
385,Female,17:43,25,41.2771802,-8.5427054,0.38
386,Male,20:14,64,-24.884645,28.299225,4.89
387,Male,5:18,96,-6.9661799,112.3561297,2.3
388,Male,23:38,72,49.4395013,20.5190522,2.12
389,Female,0:02,22,20.1564917,105.8736936,2.03
390,Female,0:30,37,47.6022755,6.2194418,2.59
391,Male,4:53,77,-13.7720906,-172.3899338,2.41
392,Female,5:16,24,59.0405545,52.3557986,0.28
393,Female,5:06,84,36.195409,113.116404,0.41
394,Female,4:12,77,13.7643349,122.9760543,2.71
395,Female,2:46,17,26,99.8333333,0.91
396,Female,15:05,56,39.174484,117.164388,3.25
397,Male,1:49,23,36.3326174,43.1076819,3.05
398,Male,13:05,62,29.926771,121.615088,3.25
399,Female,21:54,63,-9.8076,123.9023,1.37
400,Male,7:01,86,38.9583005,-104.7812654,0.42
401,Female,11:10,100,40.9937134,-8.2760021,1.44
402,Female,22:49,51,-6.4933318,106.8809319,2.63
403,Female,19:35,18,52.56166,17.82264,0.81
404,Female,17:55,93,14.6701,121.108226,1.78
405,Female,17:42,77,45.3934915,42.5902261,3.33
406,Male,17:59,25,14.7268634,100.7830826,2.5
407,Female,5:44,37,51.6396221,14.999633,1.65
408,Male,22:55,54,18.41253,122.133225,3.79
409,Female,6:04,28,5.3453369,95.8353837,2.37
410,Female,8:10,100,17.9213664,-87.9610905,1.93
411,Male,11:30,28,40.2627673,45.7004954,2.87
412,Female,7:36,28,48.9172739,31.719254,3.5
413,Male,3:34,90,-34.5727938,-58.5041922,1.67
414,Male,6:12,59,11.9415629,121.9426647,1.21
415,Male,23:12,59,16.99885,121.96434,4.34
416,Female,6:27,47,13.1225519,5.5053129,1.8
417,Female,16:02,82,-3.4590744,119.8815203,4.75
418,Male,16:34,59,55.615632,37.4668955,0.9
419,Female,23:29,90,30.914922,118.334359,1.55
420,Male,9:41,49,6.9815445,80.7647336,0.6
421,Female,16:38,56,-5.6596839,122.7802357,0.3
422,Female,0:58,36,53.180879,17.0835566,1.86
423,Male,10:41,14,23.021478,113.121435,4.37
424,Male,7:30,77,40.8440444,45.4714491,3.78
425,Female,17:59,57,32.19828,119.47016,3.37
426,Female,12:14,92,25.387227,98.43503,3.06
427,Female,7:44,35,14.5999366,121.012518,0.25
428,Female,0:30,72,55.086808,60.143301,4.13
429,Male,18:13,12,-21.2370782,-45.7592067,2.13
430,Male,10:39,51,61.3660499,22.0084795,0.76
431,Male,12:36,89,21.1962199,105.5708865,1.2
432,Male,9:18,39,34.75245,109.239163,4.55
433,Male,5:15,60,47.2265307,2.0598182,1.59
434,Male,7:59,44,30.6066166,30.8728615,1.81
435,Male,19:07,94,-7.4866757,107.485433,0.94
436,Female,21:03,48,4.345152,-74.361823,0.9
437,Male,17:12,20,9.9576111,-84.0284827,3.55
438,Male,21:53,87,38.47436,106.239679,1.47
439,Male,0:11,38,-6.3413734,106.5495683,0.99
440,Male,13:00,73,44.76324,17.19012,1.6
441,Male,22:26,33,9.0667013,-79.3873743,1.97
442,Female,20:26,96,41.6315023,19.9310781,1.33
443,Male,23:37,49,47.3016629,38.9325712,3.03
444,Male,13:24,76,-29.3632188,27.5143603,2.03
445,Female,21:29,76,50.0429768,46.8886722,2.85
446,Female,1:10,20,30.798775,121.33638,4.55
447,Male,1:24,97,18.8962696,-96.9417785,0.2
448,Female,6:33,23,38.47436,106.239679,2.38
449,Male,0:21,68,-23.4209995,-51.9330558,4.52
450,Male,18:47,65,-7.4066528,108.7719766,1.79
451,Male,6:52,77,55.813957,37.626119,1.58
452,Male,6:58,67,51.38494,30.19978,4.03
453,Female,6:27,70,37.1347927,-8.5351366,3.56
454,Female,20:44,35,12.6679167,123.9881642,3.35
455,Male,21:16,65,56.9154663,53.3224108,1.92
456,Male,3:35,18,54.7556556,38.8869951,3.23
457,Male,9:29,91,34.433333,69.666667,1.77
458,Female,4:53,81,38.807616,-9.4519959,1.1
459,Female,1:01,85,27.587249,118.473619,3.16
460,Male,15:21,94,44.1748191,17.6634251,4.36
461,Male,0:26,45,46.6698573,0.3697581,0.18
462,Male,18:50,13,7.916433,124.200182,2.92
463,Female,2:51,33,48.1067292,20.8193403,0.68
464,Male,2:25,43,46.204501,47.851999,3.94
465,Female,8:02,12,50.8169272,14.9688466,1.05
466,Female,5:11,49,38.7280454,-9.3225944,4.17
467,Female,7:20,76,32.5181019,120.2550167,4.74
468,Female,1:05,48,51.7597721,17.1196937,0.45
469,Female,15:00,84,27.3183333,100.1,0.1
470,Male,22:30,49,31.129098,120.839842,4.23
471,Female,20:43,30,0.9400761,30.8125638,1.57
472,Male,0:44,46,22.637151,114.012813,0.15
473,Male,5:15,23,41.923103,124.960413,2.26
474,Male,14:54,11,58.8578776,14.2134536,4.11
475,Female,20:59,84,41.1814553,-7.4179536,2.67
476,Male,11:16,63,-16.4708895,46.7164256,4.36
477,Male,21:25,15,-6.7146375,107.4765594,4.33
478,Male,6:53,88,8.4101505,20.6481794,1.14
479,Female,1:17,16,41.805699,123.431472,0.48
480,Female,21:17,88,49.6285187,94.3896275,2.01
481,Male,6:04,31,33.366735,117.541917,1.79
482,Male,11:53,11,-7.4726134,112.6675398,3.14
483,Male,8:51,26,-8.8954,121.1482,3.74
484,Male,19:20,67,26.433417,110.856622,4.83
485,Male,17:11,41,19.482042,-99.1985584,2.79
486,Female,3:34,66,-6.8292253,107.3532717,4.42
487,Male,20:23,65,5.2858205,-3.3036439,1.95
488,Male,10:35,45,13.5860809,-89.2918473,4.05
489,Male,11:31,91,27.100102,68.3711064,3.74
490,Female,15:44,90,38.9587954,-8.755077,0.92
491,Male,8:06,13,53.5234017,27.8299056,3.19
492,Male,12:28,72,34.746611,113.625328,1.46
493,Male,8:54,24,28.4233602,30.734995,2.94
494,Female,14:12,94,-15.4806094,-44.3642956,1.3
495,Female,7:59,25,38.3032384,23.7548814,3.78
496,Male,9:24,99,17.9073835,-77.0965442,2.42
497,Male,16:39,81,50.7062828,13.9466019,2.66
498,Male,5:25,17,48.8693156,2.3501981,0.45
499,Female,0:40,83,45.293877,41.0546109,1.68
500,Female,5:37,100,41.81194,20.05889,0.93
501,Female,6:11,99,0.4818193,31.0550093,0.27
502,Female,2:09,73,48.94153,-125.54635,0.13
503,Female,11:53,11,30.20003,115.038835,3.78
504,Male,10:54,31,13.4345789,122.6430631,2.87
505,Male,16:04,96,41.11028,21.01139,1.14
506,Female,1:07,50,50.3095461,17.5223977,2.75
507,Female,16:00,43,45.218223,18.7359718,0.09
508,Female,9:34,11,29.884053,121.494708,2.12
509,Male,19:35,25,24.4752847,101.3431058,1.82
510,Female,2:40,77,39.76389,66.9125,1.1
511,Female,2:00,92,26.1534361,119.9306863,0.27
512,Male,2:59,77,14.570844,121.0230236,0.27
513,Male,19:34,28,11.996688,125.4500814,0.02
514,Male,10:58,41,41.3009263,-95.8881542,1.77
515,Male,5:42,95,47.87809,86.98955,1.87
516,Female,10:36,65,49.7881321,6.0767949,4.97
517,Male,22:17,48,44.421459,43.003708,0.75
518,Female,11:56,88,54.13607,19.00874,3.61
519,Female,6:15,25,41.455932,118.106868,3.67
520,Female,18:53,79,49.0261841,1.1518478,1.16
521,Female,10:13,89,14.0804623,-90.3793599,2.18
522,Male,7:16,18,-11.3535985,40.3522402,4.2
523,Male,9:16,68,44.9248682,38.0110797,1.62
524,Female,1:23,47,15.61576,43.70228,4.78
